Category,Keyword,Action_Plan
Banking,card,"Contact your bank immediately to block your card, and report the fraud."
Banking,transfer,"Never authorize unexpected transfers. Verify any request via your bank's official phone number or app."
Banking,iban,"Do not provide your IBAN on suspicious websites. Report any unauthorized direct debit attempts to your bank."
Banking,identity,"Don't click on suspicious links. Contact your bank to verify recent activity."
SocialMedia,password,"Reset your credentials, enable 2FA, and log out from all devices."
SocialMedia,instagram,"Go to Settings > Security > Login Activity to log out unknown sessions. Never share your 2FA backup codes."
SocialMedia,hacked,"Contact Instagram Support through the 'Request Support' option in the app and warn your followers about the breach."
Crypto,wallet,"Never share your 12-word seed phrase or private keys. No legitimate support team will ever ask for them."
Crypto,airdrop,"Beware of 'free' tokens requiring wallet connection. Verify the project on CoinMarketCap or official social channels."
Shipping,delivery,"Do not pay 're-delivery fees' via SMS links. Use your tracking ID only on the official courier's website."
Shipping,parcel,"Check the sender's email address. Genuine companies do not use Gmail or Outlook for official delivery notices."
Identity,document,"If you shared a photo of your ID, report the identity theft to the police and monitor your credit score."
Downloads,file,"Disconnect from the internet, run a full scan, and delete the file."
Urgency,immediately,"Stay calm. Attackers use urgency to bypass logic, so verify the source."
